population,detector,representation,budget,n_cells,poison_capture_mean,poison_capture_ci95_low,poison_capture_ci95_high,clean_removal_rate_mean,clean_removal_rate_ci95_low,clean_removal_rate_ci95_high,clean_removed_mean,clean_removed_ci95_low,clean_removed_ci95_high,poison_removed_mean,poison_removed_ci95_low,poison_removed_ci95_high,precision_mean,precision_ci95_low,precision_ci95_high,auroc_mean,auroc_ci95_low,auroc_ci95_high,auprc_mean,auprc_ci95_low,auprc_ci95_high
unsw_matched,isolation_forest,control,0.05,20,0.1399,0.13099999999999998,0.1486,0.05189955462132593,0.047945162438982745,0.055934039788648915,51.6,48.0,55.8,69.95,65.5,74.3,0.5763492627764207,0.5663906015871027,0.5857694656045211,0.786643144715106,0.7784743252545252,0.7954006636595419,0.5702933019369572,0.5608590030390905,0.580565532532205
unsw_matched,isolation_forest,control,0.01,20,0.03540000000000001,0.032200000000000006,0.03910000000000001,0.01124737229908333,0.010695080470577378,0.011786496392237741,11.2,10.6,11.75,17.7,16.1,19.55,0.608352257920908,0.5930321039033853,0.6243116257640573,0.786643144715106,0.7784743252545252,0.7954006636595419,0.5702933019369572,0.5608590030390905,0.580565532532205
unsw_matched,isolation_forest,stack,0.05,20,0.1468,0.1365,0.1567,0.04720493272901382,0.04291953378620263,0.05183484662720035,46.9,42.75,51.5,73.4,68.25,78.35,0.6114158267265926,0.5971108931187998,0.6252668810443732,0.8102781580233749,0.8020597496285712,0.8185210375975974,0.5848707434780074,0.5744077576179624,0.594965722714169
unsw_matched,isolation_forest,stack,0.01,20,0.027600000000000006,0.0229,0.03270000000000001,0.010170820281966492,0.00778229423040488,0.012830194617165648,10.1,7.7,12.8,13.8,11.45,16.35,0.5903081224461961,0.5529027459954234,0.6318479371290905,0.8102781580233749,0.8020597496285712,0.8185210375975974,0.5848707434780074,0.5744077576179624,0.594965722714169
unsw_matched,knn_distance,control,0.05,20,0.127,0.11710000000000001,0.13649999999999998,0.04730055730845741,0.04284271758132182,0.05153599974935189,47.0,42.8,51.2,63.5,58.55,68.25,0.576341951133275,0.5683022353302386,0.5846811447439151,0.8154976704045394,0.8125642520881218,0.8183414355082507,0.5906181133880224,0.5863435913503273,0.5955144613057125
unsw_matched,knn_distance,control,0.01,20,0.0405,0.03450000000000001,0.04660000000000001,0.012729279185622519,0.010794624201125742,0.014506276629599055,12.8,10.75,14.75,20.25,17.25,23.3,0.6166146575571025,0.5928606752530372,0.6394602712824259,0.8154976704045394,0.8125642520881218,0.8183414355082507,0.5906181133880224,0.5863435913503273,0.5955144613057125
unsw_matched,knn_distance,stack,0.05,20,0.14730000000000004,0.134,0.1612,0.04789941846530266,0.04053338778471233,0.05613954893949843,47.6,40.3,55.9,73.65,67.0,80.6,0.6154212880378085,0.597433650542956,0.6319853036390394,0.838596980657553,0.8336232108282324,0.8435583118918029,0.6198285197611388,0.6126316531753323,0.6266549978603623
unsw_matched,knn_distance,stack,0.01,20,0.03800000000000001,0.033800000000000004,0.0425,0.011010581372173492,0.009783097247902207,0.012316567630301558,11.0,9.7,12.35,19.0,16.9,21.25,0.6333218004871253,0.6160916976770754,0.6507709227374184,0.838596980657553,0.8336232108282324,0.8435583118918029,0.6198285197611388,0.6126316531753323,0.6266549978603623
cicids_matched,isolation_forest,control,0.05,20,0.08020000000000002,0.07370000000000002,0.08640000000000002,0.0598287975039173,0.05626119671809634,0.063304867313729,49.8,47.2,52.35,40.1,36.85,43.2,0.4439753279255151,0.42159712889118256,0.46585144380573573,0.6396757585191806,0.6207182640155289,0.6604947083020869,0.46809987650360424,0.4547636400255947,0.48243876673137853
cicids_matched,isolation_forest,control,0.01,20,0.018300000000000004,0.015300000000000003,0.021100000000000004,0.015597083968674643,0.012577959896197342,0.01845760287466803,12.8,10.5,14.9,9.15,7.65,10.55,0.4234493389752011,0.3869821231211317,0.45978706054481905,0.6396757585191806,0.6207182640155289,0.6604947083020869,0.46809987650360424,0.4547636400255947,0.48243876673137853
