task,protocol,representation,n_seeds,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,macro_f1_mean,macro_f1_sd,macro_f1_ci95_low,macro_f1_ci95_high,weighted_f1_mean,weighted_f1_sd,weighted_f1_ci95_low,weighted_f1_ci95_high,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high
multiclass,random_row,raw,5,0.8451649245790824,0.002569514696075088,0.8426468001769288,0.847683048981236,0.6746570171899122,0.0017700265002542053,0.6729223912196631,0.6763916431601613,0.840263346080808,0.0022027170283567647,0.8381046833930184,0.8424220087685976,0.6717373613638731,0.003457938992434935,0.6683485811512868,0.6751261415764593
multiclass,random_row,tda280,5,0.7957939538086,0.002928140630901441,0.7929243759903165,0.7986635316268834,0.6406236433882946,0.00894444727270307,0.6318580850610456,0.6493892017155436,0.7848213692475526,0.007829253412176372,0.7771487009036198,0.7924940375914855,0.6391344667165801,0.008757475531621981,0.6305521406955906,0.6477167927375697
multiclass,group_raw_payload,raw,5,0.8062262681859187,0.01616679883773251,0.7903828053249409,0.8220697310468965,0.5946823996545056,0.02545655493437269,0.5697349758188204,0.6196298234901909,0.8033971716359499,0.015251876523123221,0.7884503326432891,0.8183440106286107,0.5664250507289899,0.03317506103928824,0.5339134909104873,0.5989366105474924
multiclass,group_raw_payload,tda280,5,0.7583495770583941,0.015720658608219196,0.7429433316223393,0.773755822494449,0.5512605836338655,0.01777488426637643,0.5338411970528166,0.5686799702149145,0.7554116568472671,0.012845541725904701,0.7428230259558805,0.7680002877386537,0.5379701254872113,0.013454742161875482,0.5247844781685733,0.5511557728058494
multiclass,group_tda_vector,raw,5,0.8029896311776739,0.07362530170435005,0.7308368355074109,0.8751424268479369,0.5258718094827416,0.07128421616794045,0.45601327763815996,0.5957303413273232,0.8040202113430448,0.060445492512373876,0.7447836286809184,0.8632567940051712,0.4914264141206985,0.05935763343690195,0.4332559333525346,0.5495968948888624
multiclass,group_tda_vector,tda280,5,0.7293025277751055,0.1033818672421118,0.6279882978778359,0.8306167576723751,0.49199187622309115,0.054677971820704996,0.43840746383880025,0.545576288607382,0.747749793858018,0.07376135457190248,0.6754636663775535,0.8200359213384825,0.4671263862841692,0.04824254343912688,0.4198486937138248,0.5144040788545136
binary,random_row,raw,5,0.9923645011891351,0.0006946770271879439,0.991683717702491,0.9930452846757792,0.9901692061893723,0.0008679846433969636,0.9893185812388433,0.9910198311399013,0.9923789857110181,0.0006990430803368735,0.991693923492288,0.9930640479297482,0.9921214565546,0.00175643725256103,0.9904001480470902,0.9938427650621099
binary,random_row,tda280,5,0.9581174114407309,0.0014759697557124789,0.9566709610801327,0.9595638618013291,0.9434548901516677,0.0017960403500396997,0.9416947706086288,0.9452150096947066,0.9571571049031146,0.0015378050733778979,0.9556500559312042,0.9586641538750249,0.925360341783783,0.0022091376353319462,0.9231953869011577,0.9275252966664084
binary,group_raw_payload,raw,5,0.9666017084236873,0.012420207816671469,0.9544299047633493,0.9787735120840253,0.9558391427647928,0.01650208395556146,0.9396671004883426,0.972011185041243,0.9661820543879104,0.012672706427550137,0.9537628020889113,0.9786013066869095,0.9462962173198314,0.01975891964392145,0.9269324760687884,0.9656599585708744
binary,group_raw_payload,tda280,5,0.9387723781654504,0.01780955761377472,0.9213190117039513,0.9562257446269496,0.9157813640160818,0.02492856889462445,0.8913513664993499,0.9402113615328137,0.9365834131139652,0.019061374295944084,0.91790326630394,0.9552635599239904,0.8939997200066726,0.03200822925196243,0.8626316553397494,0.9253677846735958
binary,group_tda_vector,raw,5,0.9080152236866941,0.0615655053581461,0.8476810284357109,0.9683494189376772,0.8838853316084931,0.0823068464963545,0.8032246220420658,0.9645460411749205,0.9016916020089056,0.06850488596991916,0.8345568137583849,0.9688263902594264,0.8696483208445931,0.09240080441556435,0.7790955325173401,0.9602011091718461
binary,group_tda_vector,tda280,5,0.8688464396517798,0.08877627077676059,0.7818456942905544,0.9558471850130051,0.8229228946465845,0.13299587292568824,0.69258693917941,0.953258850113759,0.85254108726937,0.10870329277957606,0.7460118603453854,0.9590703141933545,0.8181887630234549,0.13416377796876577,0.6867082606140644,0.9496692654328454
